index,NB_COM,IM_TR,CP
352,LIVERPOOL INSURGE          A8,59880.0,003100
353,C,2000.0,
354,CK LIEJA                   A8,5300.0,006600
355,REST CASA ABUELOS          A5,31000.0,03910
356,GOOGLE *SERVICES           C0,2000.0,0000000000
357,VS TELCEL 0180012          C6,49899.0,06500
358,00010520000,200000.0,
359,OXXO PROVIDENCIA           A8,3900.0,003100
360,GAS CONXO 1                A3,97590.0,003800
361,00503250000,150000.0,
362,TOKS YACATAS               A8,38600.0,003310
363,00041340000,500000.0,
364,CAFE KRG                   A3,8800.0,006600
365,LIVERPOOL INSURGE          A8,9800.0,003100
366,C,2000.0,
367,CK LIEJA                   A8,5300.0,006600
368,REST CASA ABUELOS          A5,31650.0,03910
369,GOOGLE *SERVICES           C0,2000.0,0000000000
370,VS TELCEL 0180012          C6,49899.0,06500
371,OXXO PROVIDENCIA           A8,7950.0,003100
372,00503250000,200000.0,
373,TOKS YACATAS               A8,38100.0,003310
374,CAFE KRG                   A3,19800.0,006600
375,LIVERPOOL INSURGE          A8,111860.0,003100
376,C,2000.0,
377,GOOGLE *SERVICES           C0,2000.0,0000000000
378,VS TELCEL 0180012          C6,50019.0,06500
379,00503250000,300000.0,
380,TOKS YACATAS               A8,60000.0,003310
381,CAFE KRG                   A3,20300.0,006600
382,LIVERPOOL INSURGE          A8,410880.0,003100
383,C,2000.0,
384,GOOGLE *SERVICES           C0,2000.0,0000000000
385,VS TELCEL 0180012          C6,50258.0,06500
386,00503250000,200000.0,
387,CAFE KRG                   A3,17100.0,006600
388,LIVERPOOL INSURGE          A8,111930.0,003100
389,C,2000.0,
390,GOOGLE *SERVICES           C0,2000.0,0000000000
391,VS TELCEL 0180012          C6,49899.0,06500
392,00503250000,200000.0,
393,CAFE KRG                   A3,16600.0,006600
394,LIVERPOOL INSURGE          A8,59940.0,003100
395,C,2000.0,
396,GOOGLE *SERVICES           C0,2000.0,0000000000
397,VS TELCEL 0180012          C6,284463.0,06500
398,00503250000,200000.0,
399,CAFE KRG                   A3,16600.0,006600
400,LIVERPOOL INSURGE          A8,180810.0,003100
401,C,2000.0,
402,GOOGLE *SERVICES           C0,2000.0,0000000000
403,VS TELCEL 0180012          C6,51281.0,06500
404,00503250000,200000.0,
405,CAFE KRG                   A3,19800.0,006600
406,LIVERPOOL INSURGE          A8,97930.0,003100
407,UdemyUS                    C1,13500.0,94107137&
408,GOOGLE *SERVICES           C0,2000.0,0000000000
409,VS TELCEL 0180012          C6,108707.0,06500
410,CAFE KRG                   A3,11600.0,006600
411,LIVERPOOL INSURGE          A8,89940.0,003100
412,Udemy                      C1,13500.0,94107137&
413,GOOGLE *SERVICES           C0,2000.0,0000000000
414,VS TELCEL 0180012          C6,52013.0,06500
415,CAFE KRG                   A3,19800.0,006600
416,C,2000.0,
417,GOOGLE *SERVICES           C0,2000.0,0000000000
418,VS TELCEL 0180012          C6,95918.0,06500
419,CAFE KRG                   A3,24000.0,006600
420,C,2000.0,
421,GOOGLE *SERVICES           C0,2000.0,0000000000
422,INNOVA SPORT MANA          A5,214850.0,0003920
423,CAFE KRG                   A3,18800.0,006600
424,C,2000.0,
425,GOOGLE *SERVICES           C0,2000.0,0000000000
426,VS TELCEL 0180012          C6,50258.0,06500
427,CAFE KRG                   A3,15200.0,006600
428,C,2000.0,
429,GOOGLE *SERVICES           C0,2000.0,0000000000
430,VS TELCEL 0180012          C6,112798.0,06500
431,CAFE KRG                   A3,18800.0,006600
432,C,2000.0,
433,GOOGLE *SERVICES           C0,2000.0,0000000000
434,VS TELCEL 0180012          C6,49899.0,06500
435,CAFE KRG                   A3,16000.0,006600
436,C,2000.0,
437,VS TELCEL 0180012          C6,50258.0,06500
438,CAFE KRG                   A3,12500.0,006600
439,C,2000.0,
440,VS TELCEL 0180012          C6,49899.0,06500
441,CAFE KRG                   A3,12500.0,006600
442,CAFE KRG                   A3,15700.0,006600
443,CAFE KRG                   A3,16200.0,006600
444,CAFE KRG                   A3,19400.0,006600
445,CAFE KRG                   A3,16200.0,006600
446,CAFE KRG                   A3,16200.0,006600
447,CAFE KRG                   A3,20000.0,006600
448,CAFE KRG                   A3,9100.0,006600
449,CAFE KRG                   A3,12500.0,006600
450,CAFE KRG                   A3,9100.0,006600
451,CAFE KRG                   A3,12800.0,006600
452,CAFE KRG                   A3,12300.0,006600
453,CAFE KRG                   A3,9100.0,006600
454,CAFE KRG                   A3,19400.0,006600
455,CAFE KRG                   A3,13600.0,006600
456,CAFE KRG                   A3,18200.0,006600
457,CAFE KRG                   A3,18400.0,006600
458,CAFE KRG                   A3,11200.0,006600
459,AMAZON.COM                 C0,0.0,98109101&
460,CAFE KRG                   A3,16800.0,006600
